"Record ID","Catalog Number","Match Taxon Concept GUID","Scientific Name","Vernacular Name","Matched Scientific Name","Taxon Rank - matched","Vernacular Name - matched","Kingdom - matched","Phylum - matched","Class - matched","Order - matched","Family - matched","Genus - matched","Species - matched","Subspecies - matched","Institution Code","Collection Code","locality","Latitude - original","Longitude - original","geodetic Datum","Latitude - processed","Longitude - processed","Coordinate Uncertainty in Metres - parsed","Country - parsed","Collector","Year - parsed","Month - parsed","Event Date - parsed","Basis Of Record - original","Basis Of Record - processed","Sex","Taxon identification issue","Location Quality","ROW _ i","Data Resource ID","Data Resource Name","Water Observations From Space","Aridity index - annual mean","Distance - to any water (weighted)","2030A1BMk35M: Water potential - annual mean","Moisture - average","Moisture - variability","Occurrence status assumed to be present","Geodetic datum assumed WGS84","Name not recognised"
"9215ea84-96a2-4bd6-b6ad-66b58c926bf6","","","","","","","","","","","","","","","","","","","-35.89007003","145.039999","","-35.89007003","145.039999","","","","","","","","","","","true","735","drt19609","","9.937888","0.41410363","0.01","-1.4568108","42.0","7.0","true","true","true"
"9216aadb-6edf-4b08-9b6f-226b60c12c2c","","","","","","","","","","","","","","","","","","","-38.09420002","145.142201","","-38.09420002","145.142201","","","","","","","","","","","true","1073","drt19609","","0.0","0.79630506","0.031622775","-1.1212844","","","true","true","true"
"922736f2-24b1-4e36-8820-3dd34e19405c","","","","","","","","","","","","","","","","","","","-37.73938802","148.864637","","-37.73938802","148.864637","","","","","","","","","","","true","1219","drt19609","","0.7194245","1.0386746","0.0","-0.5883556","57.0","7.0","true","true","true"
"922cf4e6-693e-472a-9d4b-7d85da52eab3","","","","","","","","","","","","","","","","","","","-38.109571","141.136619","","-38.109571","141.136619","","","","","","","","","","","true","779","drt19609","","0.0","1.0518296","0.036055513","-0.8159471","","","true","true","true"
"92650972-c192-4710-8e39-046f9bab9d23","","","","","","","","","","","","","","","","","","","-34.13496204","142.038549","","-34.13496204","142.038549","","","","","","","","","","","true","309","drt19609","","6.551724","0.20790121","0.0","-1.5","37.0","10.0","true","true","true"
"928aba63-175e-4d21-9103-3485620f0982","","","","","","","","","","","","","","","","","","","-36.10177302","141.955569","","-36.10177302","141.955569","","","","","","","","","","","true","554","drt19609","","49.5","0.39189264","0.0","-1.450242","41.0","9.0","true","true","true"
"929471b5-68ba-4907-b74b-1322c712d11c","","","","","","","","","","","","","","","","","","","-37.96893298","145.727484","","-37.96893298","145.727484","","","","","","","","","","","true","184","drt19609","","0.5988024","1.284073","0.0","-0.589355","70.0","6.0","true","true","true"
"92f77d8e-2ead-4793-90ea-4200afe1e20e","","","","","","","","","","","","","","","","","","","-38.08839697","143.696676","","-38.08839697","143.696676","","","","","","","","","","","true","1148","drt19609","","8.235294","0.67460996","0.0","-1.2168447","51.0","6.0","true","true","true"
"92f824b8-5f11-4a37-a836-43c9e7cecbb6","","","","","","","","","","","","","","","","","","","-38.35015501","143.013936","","-38.35015501","143.013936","","","","","","","","","","","true","442","drt19609","","29.464285","1.1504267","0.0","-0.75169426","60.0","7.0","true","true","true"
"93406b32-d412-4913-81e5-d1b5855f82ae","","","","","","","","","","","","","","","","","","","-36.75193403","146.788556","","-36.75193403","146.788556","","","","","","","","","","","true","913","drt19609","","0.0","5.4428544","0.060827624","-0.34064165","72.0","7.0","true","true","true"
"934310f5-819b-4e54-a7bf-87889a1c2d20","","","","","","","","","","","","","","","","","","","-37.89986199","147.494658","","-37.89986199","147.494658","","","","","","","","","","","true","844","drt19609","","0.0","0.75232786","0.08544003","-1.3235008","51.0","6.0","true","true","true"
"939d3e01-8813-4562-8e7a-35fa0344dee6","","","","","","","","","","","","","","","","","","","-36.620744","145.184568","","-36.620744","145.184568","","","","","","","","","","","true","411","drt19609","","4.9562683","0.63463604","0.02828427","-1.2034917","46.0","8.0","true","true","true"
"93acd783-f3d3-4b50-acd4-15f212135150","","","","","","","","","","","","","","","","","","","-34.72721801","142.890771","","-34.72721801","142.890771","","","","","","","","","","","true","206","drt19609","","13.725491","0.27296942","0.0","-1.5","38.0","8.0","true","true","true"
