LAB_SAMPLE_ID,DATASET,TC,TN,OC,IC
VW0211,Survey,31.81610889,0.870525947,5.930369505,24.94845659
VW0212,Survey,25.78161555,0.300577076,3.650266261,33.75404329
VW0213,Survey,21.84291085,0.275853948,3.947004704,32.38224549
VW0214,Survey,74.27392281,4.604247354,78.39361704,
VW0215,Survey,2.273792568,0.161889224,0,6.850452972
VW0216,Survey,13.28439938,0.093333061,2.176672376,17.64850182
VW0217,Survey,9.336453025,0.104306327,2.905170256,13.9701546
VW0218,Survey,2.562096429,0.101507617,2.079790854,5.628248546
VW0219,Survey,2.786946442,0.508621576,0,0.20648245
VW0220,Survey,7.266954841,0.544441659,3.457264234,
VW0221,Survey,18.98142741,0.16874826,2.549869243,23.26048016
VW0222,Survey,28.35614685,0.133334449,3.053305412,41.94304456
VW0223,Survey,13.24371841,0.037761506,1.624684186,31.46921653
VW0224,Survey,10.36566318,1.074008886,15.42757356,
VW0225,Survey,7.992353056,0.758585605,8.600782079,
VW0226,Survey,6.72886194,0.531963092,3.985245631,
VW0227,Survey,2.837432443,0.486830921,3.538729085,
VW0228,Survey,8.449718786,1.159063254,9.670215432,
VW0229,Survey,6.059297326,0.655130303,7.676556836,
VW0230,Survey,2.099357575,0.655319069,2.062699164,
VW0231,Survey,3.808539596,0.611835276,4.840154001,
VW0232,Survey,15.53564297,1.778875725,20.45133296,
VW0233,Survey,8.920143929,0.97919614,11.45821146,
VW0234,Survey,8.325204228,0.593436657,8.266970555,
VW0235,Survey,3.462695732,0.675715072,4.395102603,
VW0236,Survey,13.59278919,1.400440294,19.70600833,
VW0237,Survey,1.567181001,0.380898439,4.135024643,
VW0238,Survey,1.090823581,0.21559882,0.547714706,0.002237547
VW0239,Survey,0.493238072,0.118084189,0.798736511,
VW0240,Survey,27.17095898,2.366908403,14.55214971,1.970853785
VW0241,Survey,3.443860024,0.49503931,5.939090851,
VW0242,Survey,5.503969371,0.734059802,7.912760839,
VW0243,Survey,2.475858192,0.415356017,2.767947601,
VW0244,Survey,76.76444299,4.121988152,76.87170406,
VW0245,Survey,2.508219718,0.48306962,2.807575039,
VW0246,Survey,1.818139411,0.253399479,2.301480146,
VW0247,Survey,2.904505556,0.357584864,3.833552539,
VW0248,Survey,65.44588336,5.28262877,70.37168022,
VW0249,Survey,12.95292337,1.358714278,18.71757256,
VW0250,Survey,9.419159974,1.016241416,9.597882822,
VW0251,Survey,160.1968645,9.81260637,158.716155,
VW0252,Survey,122.671795,8.637532905,135.1780601,
VW0253,Survey,36.54579718,3.267200852,39.44730554,
VW0254,Survey,178.049526,9.795804531,185.9257694,
VW0255,Survey,62.96459001,5.024098103,74.89368912,
VW0256,Survey,16.37435648,1.633869376,19.65389176,
VW0257,Survey,13.26299859,1.326210199,14.57781125,
VW0258,Survey,9.103851873,0.950539007,12.18669699,
VW0259,Survey,7.65086664,0.894647167,8.996334373,
VW0260,Survey,10.94285738,0.830313687,10.20618476,
VW0261,Survey,6.680756801,0.909559331,6.587543358,
VW0262,Survey,9.842820705,0.865670397,10.6314928,
VW0263,Survey,7.000553973,0.73381016,6.994702563,
VW0264,Survey,7.46722846,0.680374883,7.800871344,
VW0265,Survey,8.00046882,0.92171866,9.778291605,
VW0266,Survey,6.822523104,0.787464029,7.535826561,
VW0267,Survey,19.43390239,1.592492564,18.92743322,
VW0268,Survey,10.84936218,1.261221088,11.09568092,
VW0269,Survey,43.52240132,2.528847355,40.54770517,
VW0270,Survey,16.80838464,0.976558609,18.868416,
VW0271,Survey,8.115034716,0.670805554,10.85758516,
VW0272,Survey,48.81692532,2.787888072,45.67986348,
VW0273,Survey,23.78377321,1.365604925,25.58853354,
VW0274,Survey,11.7302551,0.753810657,15.44546593,
