SAMPLE_ID,CORE_LABEL,CORE_NO,UPPER_SAMPLE_DEPTH,LOWER_SAMPLE_DEPTH,CORE_LENGTH,HEIGHT_IN,HEIGHT_OUT,COMPACTION_FACTOR,CONTAINER_WEIGHT,SAMPLE_CONTAINER_DRYWEIGHT,NOTES2
449,CLNG,1,0,2,120,69,38,,13.1352,35.5767,
450,CLNG,1,14,16,120,69,38,,13.1141,54.855,
451,CLNG,1,28,30,120,69,38,,13.1613,66.3356,
452,CLNG,1,44,46,120,69,38,,13.1665,61.0073,
453,CLNG,2,0,2,120,68,48,,13.2083,32.8805,
454,CLNG,2,14,16,120,68,48,,13.1027,64.4887,
455,CLNG,2,28,30,120,68,48,,13.08866,56.2704,
456,CLNG,2,48,50,120,68,48,,13.0852,58.935,
457,CLNG,3,0,2,120,67,52,,12.9618,41.825,
458,CLNG,3,14,16,120,67,52,,13.3,74.901,
459,CLNG,3,28,30,120,67,52,,13.1375,67.8359,
460,CLNG,3,48,50,120,67,52,,13.1992,72.8651,
